Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
4.163548750,0,1,1,1,1,1,1,1
4.163549500,0,0,1,1,1,1,1,1
4.163550250,1,0,1,1,1,1,1,1
4.163551625,0,0,1,1,1,1,1,1
4.163553000,1,0,1,1,1,1,1,1
4.163554500,0,0,1,1,1,1,1,1
4.163555875,1,0,1,1,1,1,1,1
4.163557250,0,0,1,1,1,1,1,1
4.163558750,1,0,1,1,1,1,1,1
4.163560125,0,0,1,1,1,1,1,1
4.163561500,1,0,1,1,1,1,1,1
4.163563000,0,0,1,1,1,1,1,1
4.163564375,1,0,1,1,1,1,1,1
4.163565750,0,0,1,1,1,1,1,1
4.163567250,1,0,1,1,1,1,1,1
4.163568625,0,0,1,1,1,1,1,1
4.163570000,1,0,1,1,1,1,1,1
4.163571500,0,0,1,1,1,1,1,1
4.163572125,0,1,1,1,1,1,1,1
4.163572875,1,1,1,1,1,1,1,1
4.163574250,0,1,1,1,1,1,1,1
4.163575125,0,0,1,1,1,1,1,1
4.163575750,1,0,1,1,1,1,1,1
4.163577250,0,0,1,1,1,1,1,1
4.163578625,1,0,1,1,1,1,1,1
4.163580000,0,0,1,1,1,1,1,1
4.163581500,1,0,1,1,1,1,1,1
4.163582875,0,0,1,1,1,1,1,1
4.163584250,1,0,1,1,1,1,1,1
4.163585750,0,0,1,1,1,1,1,1
4.163587125,1,0,1,1,1,1,1,1
4.163588500,0,0,1,1,1,1,1,1
4.163590000,1,0,1,1,1,1,1,1
4.163591375,0,0,1,1,1,1,1,1
4.163592125,0,1,1,1,1,1,1,1
4.163592750,1,1,1,1,1,1,1,1
4.163594250,0,1,1,1,1,1,1,1
4.163594875,0,0,1,1,1,1,1,1
4.163595625,1,0,1,1,1,1,1,1
4.163597000,0,0,1,1,1,1,1,1
4.163597750,0,1,1,1,1,1,1,1
4.163598500,1,1,1,1,1,1,1,1
4.163599875,0,1,1,1,1,1,1,1
4.163600625,0,0,1,1,1,1,1,1
4.163601375,1,0,1,1,1,1,1,1
4.163602125,1,1,1,1,1,1,1,1
4.163604250,1,0,1,1,1,1,1,1
4.163605000,0,0,1,1,1,1,1,1
4.163606500,1,0,1,1,1,1,1,1
4.163607875,0,0,1,1,1,1,1,1
4.163609375,1,0,1,1,1,1,1,1
4.163610750,0,0,1,1,1,1,1,1
4.163612125,1,0,1,1,1,1,1,1
4.163613625,0,0,1,1,1,1,1,1
4.163614250,0,1,1,1,1,1,1,1
4.163615000,1,1,1,1,1,1,1,1
4.163616375,0,1,1,1,1,1,1,1
4.163617125,0,0,1,1,1,1,1,1
4.163617875,1,0,1,1,1,1,1,1
4.163619250,0,0,1,1,1,1,1,1
4.163620000,0,1,1,1,1,1,1,1
4.163620625,1,1,1,1,1,1,1,1
4.163622125,0,1,1,1,1,1,1,1
4.163622750,0,0,1,1,1,1,1,1
4.163623500,1,0,1,1,1,1,1,1
4.163624875,0,0,1,1,1,1,1,1
4.163626375,1,0,1,1,1,1,1,1
4.163627750,0,0,1,1,1,1,1,1
4.163628500,0,1,1,1,1,1,1,1
4.163629125,1,1,1,1,1,1,1,1
4.163630625,0,1,1,1,1,1,1,1
4.163631375,0,0,1,1,1,1,1,1
4.163632125,1,0,1,1,1,1,1,1
4.163633500,0,0,1,1,1,1,1,1
4.163635000,1,0,1,1,1,1,1,1
4.163636375,0,0,1,1,1,1,1,1
4.163637750,1,0,1,1,1,1,1,1
4.163639250,0,0,1,1,1,1,1,1
4.163640625,1,0,1,1,1,1,1,1
4.163642000,0,0,1,1,1,1,1,1
4.163643500,1,0,1,1,1,1,1,1
4.163644875,0,0,1,1,1,1,1,1
4.163646250,1,0,1,1,1,1,1,1
4.163647750,0,0,1,1,1,1,1,1
4.163649125,1,0,1,1,1,1,1,1
4.163650500,0,0,1,1,1,1,1,1
4.163652000,1,0,1,1,1,1,1,1
4.163653375,0,0,1,1,1,1,1,1
4.163654125,0,1,1,1,1,1,1,1
4.163654750,1,1,1,1,1,1,1,1
4.163656250,0,1,1,1,1,1,1,1
4.163657000,0,0,1,1,1,1,1,1
4.163657750,1,0,1,1,1,1,1,1
4.163659125,0,0,1,1,1,1,1,1
4.163660500,1,0,1,1,1,1,1,1
4.163662000,0,0,1,1,1,1,1,1
4.163663375,1,0,1,1,1,1,1,1
4.163664750,0,0,1,1,1,1,1,1
4.163666250,1,0,1,1,1,1,1,1
4.163667625,0,0,1,1,1,1,1,1
4.163669000,1,0,1,1,1,1,1,1
4.163670500,0,0,1,1,1,1,1,1
4.163671125,0,1,1,1,1,1,1,1
4.163671875,1,1,1,1,1,1,1,1
4.163673250,0,1,1,1,1,1,1,1
4.163674750,1,1,1,1,1,1,1,1
4.163676125,0,1,1,1,1,1,1,1
4.163676875,0,0,1,1,1,1,1,1
4.163677500,1,0,1,1,1,1,1,1
4.163679000,0,0,1,1,1,1,1,1
4.163679625,0,1,1,1,1,1,1,1
4.163680375,1,1,1,1,1,1,1,1
4.163681750,0,1,1,1,1,1,1,1
4.163682625,0,0,1,1,1,1,1,1
4.163683250,1,0,1,1,1,1,1,1
4.163684750,0,0,1,1,1,1,1,1
4.163686125,1,0,1,1,1,1,1,1
4.163687500,0,0,1,1,1,1,1,1
4.163689000,1,0,1,1,1,1,1,1
4.163690375,0,0,1,1,1,1,1,1
4.163691750,1,0,1,1,1,1,1,1
4.163693250,0,0,1,1,1,1,1,1
4.163694625,1,0,1,1,1,1,1,1
4.163696000,0,0,1,1,1,1,1,1
4.163697500,1,0,1,1,1,1,1,1
4.163698875,0,0,1,1,1,1,1,1
4.163700250,1,0,1,1,1,1,1,1
4.163701750,0,0,1,1,1,1,1,1
4.163703125,1,0,1,1,1,1,1,1
4.163704500,0,0,1,1,1,1,1,1
4.163705250,0,1,1,1,1,1,1,1
4.163706000,1,1,1,1,1,1,1,1
4.163707375,0,1,1,1,1,1,1,1
4.163708125,0,0,1,1,1,1,1,1
4.163708875,1,0,1,1,1,1,1,1
4.163710250,0,0,1,1,1,1,1,1
4.163711750,1,0,1,1,1,1,1,1
4.163713125,0,0,1,1,1,1,1,1
4.163714500,1,0,1,1,1,1,1,1
4.163716000,0,0,1,1,1,1,1,1
